name,marketcap,country,change (1 year),rank,change (1 day),categories,share price
colgate-palmolive,$66.04 b,usa,-7.96%,#266,0.46%,🛍 consumer goods,$78.36
bmw,$65.71 b,germany,23.37%,#267,-0.65%,🚗 automakers🇩🇪 dax 🏭 manufacturing,$101.23
fedex,$65.49 b,usa,-16.95%,#268,0.83%,📦 courier transportation,$246.53
air products and chemicals,$65.37 b,usa,8.36%,#269,0.69%,🧪 chemicals,$295.20
ferrari,$65.35 b,italy,21.07%,#270,0.08%,🚗 automakers 🏭 manufacturing,$260.46
aon,$65.17 b,uk,42.72%,#271,0.10%,💼 professional services🏦 insurance,$295.81
glencore,$64.38 b,switzerland,53.14%,#272,-0.51%,⛏️ mining⛏️ coal mining,$4.87
china shenhua energy,$64.32 b,china,25.14%,#273,0.19%,⛏️ mining⛏️ coal mining,$9.21
capital one,$64.13 b,usa,57.15%,#274,1.02%,🏦 banks💳 financial services,$150.70
biontech,$64.10 b,germany,131.42%,#275,-7.00%,💊 pharmaceuticals🧬 mrna therapeutics🧬 biotech,$264.32
basf,$63.41 b,germany,-8.68%,#276,0.00%,🧪 chemicals🇩🇪 dax,$69.04
industrial bank,$63.36 b,china,-4.99%,#277,-0.05%,🏦 banks💳 financial services,$3.05
bank central asia,$63.26 b,indonesia,n/a,#278,0.34%,🏦 banks💳 financial services,$0.51
kla,$63.22 b,usa,59.60%,#279,1.86%,📟 semiconductors👩‍💻 tech💻 tech hardware,$417.00
fidelity national information services,$63.20 b,usa,-28.95%,#280,-0.76%,💳 financial services👩‍💻 tech,$103.80
wuxi apptec,$63.15 b,china,38.18%,#281,-3.66%,💊 pharmaceuticals medical devices🧬 biotech,$21.23
fast retailing,$62.90 b,japan,-25.98%,#282,1.69%,👚 clothing🛍️ retail,$612.19
zurich insurance group,$62.46 b,switzerland,6.60%,#283,0.28%,🏦 insurance,$420.67
xiaomi,$62.14 b,china,-28.88%,#284,0.61%,🔌 electronics👩‍💻 tech💻 tech hardware,$2.48
dbs,$61.97 b,singapore,27.87%,#285,2.16%,🏦 banks💳 financial services,$24.13
pernod ricard,$61.89 b,france,33.50%,#286,0.38%,🍷 alcoholic beverages🇫🇷 cac 40🥤 beverages,$238.31
america movil,$61.86 b,mexico,36.84%,#287,-0.31%,📡 telecommunication,$19.07
lucid motors,$61.83 b,usa,n/a,#288,2.85%,🚗 automakers🔋 electric vehicles,$37.56
ubs,$61.77 b,switzerland,24.10%,#289,-0.36%,🏦 banks💳 financial services,$17.86
mediatek,$61.70 b,taiwan,47.82%,#290,-0.92%,📟 semiconductors👩‍💻 tech💻 tech hardware,$38.79
dominion energy,$61.58 b,usa,2.54%,#291,-0.19%,🔋 electricity ⚡ energy🚰 utility companies,$76.05
relx,$61.46 b,uk,31.42%,#292,-0.31%,,$31.77
nxp semiconductors,$60.69 b,netherlands,43.12%,#293,1.37%,📟 semiconductors👩‍💻 tech,$228.24
lonza,$60.42 b,switzerland,38.50%,#294,-0.40%,💊 pharmaceuticals🧬 biotech,$813.43
autodesk,$60.24 b,usa,-4.21%,#295,2.32%,👩‍💻 software👩‍💻 tech,$273.88
public storage,$60.21 b,usa,55.85%,#296,0.32%,🏠 real estate💰 investment 🏘️ reits,$343.39
walmex,$60.03 b,mexico,31.22%,#297,-1.77%,🛍️ retail 🛒 supermarket chains,$3.44
infineon,$59.92 b,germany,36.09%,#298,-0.35%,📟 semiconductors👩‍💻 tech🇩🇪 dax,$45.52
east money information,$59.90 b,china,39.44%,#299,-0.89%,💳 financial services🖥️ internet,$5.80
united heavy machinery,$59.41 b,russia,52.24%,#300,-1.81%,,$70.19
bajaj finance,$59.30 b,india,53.59%,#301,0.16%,💳 financial services,$98.26
heineken,$58.95 b,netherlands,-0.46%,#302,0.49%,🍷 alcoholic beverages🥤 beverages,$102.39
boston scientific,$58.93 b,usa,20.95%,#303,0.19%,medical devices,$41.36
thomson reuters,$58.74 b,canada,49.21%,#304,0.12%,📰 media/press,$120.61
denso,$58.71 b,japan,37.33%,#305,0.00%,🚘 automotive suppliers 🏭 manufacturing,$76.00
stellantis,$58.65 b,netherlands,n/a,#306,1.27%,🚗 automakers 🏭 manufacturing,$18.73
hoya,$58.50 b,japan,33.76%,#307,-0.07%,,$158.52
illumina,$58.41 b,usa,9.94%,#308,0.65%,🧬 genomics🧬 biotech 🏭 manufacturing,$373.74
lukoil,$58.33 b,russia,32.13%,#309,0.27%,🛢 oil&gas ⚡ energy,$89.41
mercadolibre,$58.22 b,argentina,-26.34%,#310,1.96%,🛒 e-commerce🖥️ internet👩‍💻 tech,"$1,154"
state bank of india,$58.21 b,india,80.75%,#311,1.24%,🏦 banks💳 financial services,$6.52
reckitt benckiser,$58.20 b,uk,-6.33%,#312,-0.59%,🛍 consumer goods,$81.06
verbund ag,$58.18 b,austria,64.21%,#313,0.00%,🔋 electricity🚰 utility companies ⚡ energy,$112.21
sika,$58.09 b,switzerland,65.35%,#314,0.74%,🧪 chemicals,$409.85
humana,$57.92 b,usa,10.81%,#315,-0.35%,🏦 insurance,$450.69
northrop grumman,$57.87 b,usa,21.11%,#316,0.00%,🚀 aerospace🔫 defense contractors,$367.86
maersk,$57.76 b,denmark,67.27%,#317,-1.78%,transportation 🚢 maritime transportation 🚢 container shipping,"$2,993"
adidas,$57.70 b,germany,-14.11%,#318,-1.23%,👟 footwear🎾 sports goods🇩🇪 dax👚 clothing,$295.80
china telecom,$57.61 b,china,n/a,#319,-0.39%,📡 telecommunication,$0.32
doordash,$57.42 b,usa,-13.01%,#320,1.54%,🥡 food delivery🖥️ internet🍴 food,$167.40
freeport-mcmoran,$57.37 b,usa,57.28%,#321,1.56%,⛏️ mining,$39.07
datadog,$57.09 b,usa,83.39%,#322,4.33%,👩‍💻 software🖥️ internet👩‍💻 tech,$183.00
wuxi biologics,$57.05 b,china,-56.53%,#323,1.10%,💊 pharmaceuticals🧬 biotech,$26.55
eqt,$56.80 b,sweden,174.27%,#324,-1.30%,💰 investment,$57.13
zoom,$56.61 b,usa,-51.14%,#325,0.91%,👩‍💻 tech🖥️ internet👩‍💻 software,$189.99
general dynamics,$56.60 b,usa,31.00%,#326,0.39%,🔫 defense contractors,$202.72
hitachi,$56.09 b,japan,44.52%,#327,0.39%,👷 engineering🏙 conglomerate,$58.00
ping an bank,$56.01 b,china,-0.05%,#328,-1.71%,🏦 banks💳 financial services,$2.89
progressive,$55.64 b,usa,1.76%,#329,-0.05%,🏦 insurance,$95.20
johnson controls,$55.62 b,ireland,72.48%,#330,-0.01%,,$78.97
anz bank,$55.42 b,australia,18.45%,#331,-0.51%,🏦 banks💳 financial services,$19.66
volvo group,$55.35 b,sweden,-1.05%,#332,0.35%,🏭 manufacturing🚑 specialty vehicles,$22.59
bharti airtel,$55.10 b,india,41.92%,#333,-0.46%,📡 telecommunication,$9.37
synopsys,$55.10 b,usa,52.29%,#334,1.56%,👩‍💻 software📟 semiconductors👩‍💻 tech🔌 electronics💻 tech hardware,$360.00
vinci,$55.07 b,france,0.92%,#335,-0.72%,🇫🇷 cac 40🏗 construction,$96.76
westpac banking,$54.92 b,australia,0.07%,#335,-0.20%,🏦 banks💳 financial services,$14.88
emerson,$54.91 b,usa,12.73%,#336,0.35%,🏭 manufacturing👷 engineering,$92.31
nintendo,$54.75 b,japan,-17.03%,#338,-1.01%,🎮 video games🔌 electronics entertainment💻 tech hardware👩‍💻 tech,$466.73
xilinx,$54.18 b,usa,52.07%,#342,1.66%,📟 semiconductors👩‍💻 tech,$218.60
oriental land,$54.37 b,japan,5.04%,#339,0.00%,entertainment🏨 hotels🌴 travel,$164.90
anglo american,$54.17 b,uk,22.86%,#343,0.00%,⛏️ mining,$37.22
dexcom,$54.27 b,usa,68.02%,#340,-0.03%,medical devices🧬 biotech,$560.00
nio,$54.22 b,china,-22.63%,#341,0.12%,🚗 automakers🔋 electric vehicles,$34.09
ørsted,$53.60 b,denmark,-25.89%,#344,0.03%,🔋 electricity ⚡ energy,$127.59
chugai pharmaceutical,$53.55 b,japan,-25.55%,#346,-2.37%,💊 pharmaceuticals🧬 biotech,$32.58
align technology,$53.59 b,usa,32.33%,#345,0.90%,medical devices👩‍💻 tech,$679.67
fortinet,$53.28 b,usa,152.45%,#348,3.00%,👩‍💻 tech👩‍💻 software🔒 it security,$325.90
ing,$53.14 b,netherlands,38.19%,#349,-0.22%,🏦 banks💳 financial services,$13.83
santander,$52.85 b,spain,-8.51%,#350,0.58%,🏦 banks💳 financial services,$3.03
lululemon athletica,$53.35 b,canada,14.68%,#347,-1.42%,🛍️ retail🎾 sports goods👚 clothing,$411.01
baidu,$52.83 b,china,-1.91%,#351,0.53%,🖥️ internet👩‍💻 tech,$149.48
ihs markit,$52.60 b,uk,45.32%,#352,0.55%,,$131.90
foxconn,$52.51 b,taiwan,19.10%,#353,-0.94%,🔌 electronics 🏭 manufacturing💻 tech hardware👩‍💻 tech,$3.79
exelon corporation,$52.34 b,usa,29.33%,#354,0.68%,🔋 electricity,$53.50
eog resources,$52.32 b,usa,67.82%,#355,0.62%,,$89.43
palo alto networks,$52.28 b,usa,74.59%,#357,0.45%,👩‍💻 tech👩‍💻 software🔒 it security,$529.90
vertex pharmaceuticals,$52.30 b,usa,-7.12%,#356,-1.29%,💊 pharmaceuticals🧬 biotech,$205.73
te connectivity,$52.04 b,switzerland,32.25%,#359,1.51%,👩‍💻 tech💻 tech hardware🔌 electronics,$159.51
idexx laboratories,$52.18 b,usa,35.05%,#358,1.29%,,$615.44
iqvia,$51.76 b,usa,59.74%,#360,0.68%,💼 professional services🖥️ it services👩‍💻 tech,$270.99
metlife,$51.59 b,usa,27.79%,#361,0.76%,🏦 insurance,$61.34
jiangsu hengrui medicine,$51.50 b,china,-41.76%,#364,-0.25%,💊 pharmaceuticals🧬 biotech,$8.05
msci,$51.54 b,usa,49.52%,#363,0.84%,💳 financial services,$625.15
dollar general,$51.58 b,usa,6.39%,#362,0.13%,🛍️ retail,$222.62
marriott international,$51.43 b,usa,20.45%,#365,0.50%,🏨 hotels🌴 travel,$157.93
dsv,$51.31 b,denmark,44.70%,#366,-1.20%,transportation,$218.38
safran,$51.29 b,france,-17.24%,#367,-0.42%,🇫🇷 cac 40🚀 aerospace🔫 defense contractors,$118.50
bayer,$51.02 b,germany,-10.89%,#368,-1.71%,💊 pharmaceuticals🧪 chemicals🇩🇪 dax🧬 biotech,$51.24
cadence design systems,$50.71 b,usa,55.53%,#369,1.88%,👩‍💻 software👩‍💻 tech🔌 electronics💻 tech hardware,$183.00
wanhua chemical,$50.59 b,china,24.52%,#370,-0.24%,🧪 chemicals,$16.11
samsung biologics,$50.49 b,south korea,11.44%,#372,-1.64%,🧬 biotech 🏭 manufacturing,$763.10
s.f. express,$50.47 b,china,-15.56%,#373,-0.35%,📦 courier,$10.29
cibc,$50.50 b,canada,27.92%,#371,0.40%,🏦 banks💳 financial services,$112.00
citic securities,$50.31 b,china,-8.23%,#374,-1.64%,🏦 banks💳 financial services💰 investment,$4.15
simon property group,$50.11 b,usa,67.59%,#377,0.18%,🏠 real estate💰 investment 🏘️ reits,$152.51
the trade desk,$50.00 b,usa,-89.32%,#378,2.75%,👩‍💻 software🖥️ internet👩‍💻 tech,$97.11
luxshare precision,$50.16 b,china,-14.02%,#375,-0.64%,,$7.12
amphenol,$49.93 b,usa,-37.80%,#380,0.47%,,$83.50
national grid,$50.12 b,uk,14.85%,#376,0.20%,🔋 electricity ⚡ energy,$69.29
naver,$49.94 b,south korea,38.72%,#379,-1.13%,🖥️ internet👩‍💻 tech,$334.54
eni,$49.67 b,italy,28.51%,#382,0.69%,,$27.82
cloudflare,$49.75 b,usa,94.28%,#381,2.96%,🖥️ internet👩‍💻 tech🔒 it security👩‍💻 software,$154.64
keurig dr pepper,$49.55 b,usa,14.31%,#385,1.04%,🥤 beverages,$34.95
kotak mahindra bank,$49.59 b,india,1.74%,#383,-1.02%,🏦 banks💳 financial services,$25.01
bank of communications,$49.59 b,china,10.38%,#384,0.00%,🏦 banks💳 financial services,$0.59
roper technologies,$49.51 b,usa,11.51%,#387,0.34%,🔬 scientific & technical instruments👩‍💻 tech,$469.43
canadian natural resources,$49.52 b,canada,70.63%,#386,0.76%,🛢 oil&gas ⚡ energy,$41.80
murata seisakusho,$49.38 b,japan,-11.21%,#388,0.00%,🔌 electronics👩‍💻 tech💻 tech hardware,$76.40
liberty bancshares,$49.37 b,usa,24.15%,#389,0.00%,🏦 banks💳 financial services,$64.00
london stock exchange,$49.34 b,uk,-18.34%,#390,-1.30%,💳 financial services🏛 stock exchanges🏛 stock/crypto exchanges,$87.73
microchip technology,$48.82 b,usa,-38.03%,#392,1.58%,👩‍💻 tech💻 tech hardware📟 semiconductors,$88.00
twilio,$48.78 b,usa,-14.16%,#394,1.96%,👩‍💻 software👩‍💻 tech,$273.55
chipotle mexican grill,$48.87 b,usa,31.10%,#391,0.84%,🍔 restaurant chains🍴 food,"$1,737"
honda,$48.80 b,japan,-6.21%,#393,0.64%,🚗 automakers 🏭 manufacturing,$28.29
wesfarmers,$48.56 b,australia,19.54%,#395,0.52%,🧪 chemicals🛍️ retail🌱 fertilizer companies,$42.83
carvana,$48.13 b,usa,4.91%,#398,1.11%,🖥️ internet🚘 used car retailer,$271.02
intesa sanpaolo,$48.38 b,italy,4.45%,#396,-1.07%,🏦 banks💳 financial services,$14.99
canadian pacific railway,$48.00 b,canada,-78.82%,#399,-0.10%,🚂 railways transportation🛣️ infrastructure,$71.97
givaudan,$47.97 b,switzerland,32.69%,#400,0.17%,flavors & fragrances💄 cosmetics and beauty,"$5,196"
trane technologies,$47.70 b,ireland,42.96%,#403,-0.42%,,$200.81
prudential,$47.90 b,uk,0.46%,#401,0.43%,🏦 insurance,$34.82
z holdings,$47.78 b,japan,18.77%,#402,-1.81%,🖥️ internet,$6.29
vmware,$47.60 b,usa,-20.10%,#404,0.59%,👩‍💻 tech👩‍💻 software,$113.45
coupang,$47.58 b,south korea,n/a,#405,-1.27%,🛒 e-commerce🖥️ internet🛍️ retail👩‍💻 tech,$27.17
wipro,$47.53 b,india,64.03%,#406,-0.11%,💼 professional services🖥️ it services,$8.70
bank of new york mellon,$47.29 b,usa,39.94%,#407,0.33%,🏦 banks💳 financial services,$57.27
southern copper,$47.28 b,usa,2.76%,#408,0.08%,⛏️ mining,$61.17
monster beverage,$47.19 b,usa,0.46%,#409,1.02%,🥤 beverages,$89.20
bce,$47.06 b,canada,13.23%,#410,-0.02%,📡 telecommunication📰 media/press,$51.52
nordea bank,$47.05 b,finland,45.31%,#411,0.27%,🏦 banks💳 financial services,$11.88
digital realty,$47.05 b,usa,28.18%,#412,-0.32%,🏠 real estate💰 investment 🏘️ reits,$165.79
agilent technologies,$46.92 b,usa,32.83%,#413,0.25%,🧬 biotech 🏭 manufacturing,$155.00
sumitomo mitsui financial group,$46.86 b,japan,16.21%,#414,0.29%,🏦 banks💳 financial services,$6.83
cintas,$46.71 b,usa,26.86%,#415,0.58%,,$451.74
edf,$46.69 b,france,-7.45%,#416,0.00%,🔋 electricity🚰 utility companies ⚡ energy,$14.16
crowdstrike,$46.51 b,usa,21.12%,#417,0.77%,👩‍💻 tech👩‍💻 software🔒 it security,$202.82
lg chem,$46.25 b,south korea,-10.65%,#418,-0.94%,🧪 chemicals,$626.74
enterprise products,$46.25 b,usa,1.98%,#419,0.55%,🛢 oil&gas ⚡ energy,$21.20
activision blizzard,$46.19 b,usa,-28.47%,#420,0.40%,🎮 video games🕹️ esports entertainment👩‍💻 tech,$59.31
kuaishou technology,$46.02 b,china,n/a,#421,0.64%,🖥️ internet👩‍💻 tech,$11.06
kimberly-clark,$45.89 b,usa,-0.11%,#422,0.52%,🏭 manufacturing,$136.31
nornickel,$45.86 b,russia,-5.00%,#423,0.54%,⛏️ mining,$29.85
american international group,$45.79 b,usa,37.23%,#424,0.35%,🏦 insurance,$55.00
aptiv,$45.70 b,ireland,34.81%,#425,1.29%,🚘 automotive suppliers,$168.95
cnooc,$45.62 b,china,n/a,#426,3.45%,🛢 oil&gas ⚡ energy,$94.40
o'reilly automotive,$45.38 b,usa,51.34%,#427,0.25%,,$673.65
spotify,$45.17 b,sweden,-29.79%,#428,1.03%,,$235.83
jardine matheson,$45.17 b,hong kong,0.91%,#429,0.64%,🏙 conglomerate💰 investment,$55.25
cosco shipping,$45.16 b,china,89.01%,#430,3.41%,transportation 🚢 maritime transportation 🚢 container shipping,$3.05
ambev,$45.13 b,brazil,-7.02%,#431,0.90%,🥤 beverages🍷 alcoholic beverages,$2.81
anta sports,$45.07 b,china,26.94%,#432,-1.02%,🎾 sports goods,$16.43
centene,$45.04 b,usa,18.00%,#433,3.11%,,$77.20
kakao,$44.97 b,south korea,-67.33%,#434,0.00%,🖥️ internet👩‍💻 tech,$103.75
tc energy,$44.94 b,canada,0.97%,#435,0.38%,🛢 oil&gas transportation ⚡ energy🛣️ infrastructure,$45.82
hapag-lloyd,$44.94 b,germany,201.34%,#436,0.71%,transportation 🚢 container shipping 🚢 maritime transportation,$255.70
smc,$44.79 b,japan,6.55%,#437,-0.86%,,$672.86
pioneer natural resources,$44.78 b,usa,60.00%,#438,0.19%,,$183.43
kkr & co.,$44.74 b,usa,93.51%,#439,0.95%,💰 investment,$76.48
t. rowe price,$44.72 b,usa,31.56%,#440,-0.21%,💰 investment,$199.00
newmont,$44.60 b,usa,-6.29%,#441,-0.48%,⛏️ mining ⛏️ gold mining,$55.94
hexagon,$44.60 b,sweden,-81.13%,#442,7.57%,,$15.89
itōchū shōji,$44.56 b,japan,8.16%,#443,-2.73%,,$29.96
paychex,$44.48 b,usa,31.22%,#444,0.85%,,$123.36
motorola solutions,$44.18 b,usa,49.90%,#445,0.93%,,$261.59
experian,$44.08 b,ireland,29.19%,#446,0.00%,,$47.14
stmicroelectronics,$44.01 b,switzerland,34.93%,#447,2.04%,🇫🇷 cac 40,$48.56
dell,$43.95 b,usa,-19.40%,#448,-0.19%,👩‍💻 tech💻 tech hardware🔌 electronics,$57.54
lloyds banking group,$43.91 b,uk,22.96%,#449,0.62%,🏦 banks💳 financial services,$2.43
yanghe,$43.80 b,china,-4.57%,#450,-0.72%,🍷 alcoholic beverages🥤 beverages,$29.07
constellation brands,$43.69 b,usa,11.52%,#451,0.33%,🍷 alcoholic beverages🥤 beverages,$234.26
schlumberger,$43.34 b,usa,31.02%,#453,0.91%,🛢 oil&gas ⚡ energy,$30.90
cognizant technology solutions,$43.45 b,usa,2.51%,#452,0.98%,,$81.78
bank rakyat indonesia,$43.22 b,indonesia,-0.83%,#455,-0.84%,🏦 banks,$0.27
crédit agricole,$43.18 b,france,11.93%,#456,2.81%,🏦 banks💳 financial services🇫🇷 cac 40,$14.26
zscaler,$43.24 b,usa,71.50%,#454,1.90%,👩‍💻 software👩‍💻 tech🔒 it security,$308.81
walgreens boots alliance,$43.16 b,usa,17.72%,#457,1.41%,🇺🇸 dow jones🛍️ retail 💊 drugstore💊 pharmaceuticals,$49.87
republic services,$42.76 b,usa,42.60%,#458,0.28%,♻️ waste & recycling,$134.88
takeda pharmaceutical,$42.71 b,japan,-27.52%,#459,0.30%,💊 pharmaceuticals🧬 biotech,$13.58
partners group,$42.57 b,switzerland,53.79%,#461,-1.55%,💰 investment,"$1,618"
l3harris technologies,$42.54 b,usa,14.99%,#462,0.08%,🔫 defense contractors,$216.69
daiichi sankyō,$42.53 b,japan,-23.75%,#463,-1.88%,,$24.50
banco santander brasil,$42.63 b,brazil,-31.15%,#460,0.53%,🏦 banks💳 financial services,$5.71
3i group,$42.19 b,uk,21.26%,#464,0.00%,,$18.99
muyuan foods,$42.10 b,china,-33.12%,#465,-0.53%,🍴 food,$8.00
svb financial group,$41.99 b,usa,102.82%,#467,1.35%,,$715.60
alimentation couche-tard,$42.00 b,canada,14.78%,#466,0.00%,🛍️ retail,$40.00
unity software,$41.95 b,usa,-7.89%,#468,3.53%,👩‍💻 software👩‍💻 tech🎮 video games,$144.95
ebay,$41.78 b,usa,34.55%,#470,0.23%,🖥️ internet🛒 e-commerce👩‍💻 tech,$66.75
hp,$41.90 b,usa,55.89%,#469,0.58%,👩‍💻 tech💻 tech hardware🔌 electronics,$36.36
american electric power,$41.59 b,usa,-0.10%,#472,0.32%,🔋 electricity ⚡ energy,$83.79
alcon,$41.68 b,switzerland,32.35%,#471,-0.92%,,$84.27
hcl technologies,$41.58 b,india,34.23%,#473,-0.54%,💼 professional services,$15.32
veeva systems,$41.57 b,usa,3.27%,#474,1.15%,👩‍💻 software👩‍💻 tech,$270.40
asian paints,$41.52 b,india,26.02%,#475,3.29%,🎨 paint & coating,$43.29
barclays,$41.41 b,uk,25.64%,#476,0.92%,🏦 banks💳 financial services,$9.89
sartorius,$41.40 b,germany,46.73%,#477,-0.20%,🔬 scientific & technical instruments,$555.68
dupont de nemours,$41.22 b,usa,16.38%,#479,1.18%,🧪 chemicals,$79.57
kraft heinz,$41.16 b,usa,-2.19%,#481,0.48%,🍴 food,$33.63
bank of ningbo,$41.17 b,china,12.81%,#480,-0.03%,,$6.24
old dominion freight line,$41.34 b,usa,74.95%,#478,1.34%,transportation,$359.50
autozone,$41.11 b,usa,72.95%,#482,-0.25%,🛍️ retail,"$1,961"
vodafone,$41.08 b,uk,-16.40%,#483,0.87%,📡 telecommunication,$15.07
dmart,$40.96 b,india,83.64%,#484,-0.51%,🛍️ retail,$63.24
parker-hannifin,$40.89 b,usa,15.20%,#486,-0.02%,,$318.25
techtronic industries,$40.93 b,hong kong,85.41%,#485,-1.50%,🔌 electronics🛠️ tool manufacturers 🏭 manufacturing,$21.84
nutrien,$40.86 b,canada,n/a,#487,3.08%,⛏️ mining🌱 fertilizer companies,$71.56
zijin mining,$40.77 b,china,18.94%,#489,-0.97%,⛏️ mining,$1.61
dow,$40.78 b,usa,-0.49%,#488,1.40%,🇺🇸 dow jones🧪 chemicals,$55.15
prudential financial,$40.68 b,usa,32.78%,#490,1.04%,🏦 insurance,$107.64
baxter,$40.44 b,usa,1.59%,#492,0.26%,,$80.77
sempra energy,$40.49 b,usa,-2.14%,#491,0.48%,⚡ energy🛢 oil&gas🔋 electricity🛣️ infrastructure,$126.80
shanghai pudong development bank,$40.42 b,china,-11.71%,#493,0.23%,🏦 banks💳 financial services,$1.38
yili group,$40.39 b,china,2.91%,#494,2.13%,🥛 dairy companies,$6.64
rockwell automation,$40.33 b,usa,37.92%,#495,0.35%,,$347.80
cellnex telecom,$40.31 b,spain,n/a,#497,0.11%,📡 telecommunication,$59.43
hyundai,$40.30 b,south korea,-3.52%,#498,-1.71%,🚗 automakers 🏭 manufacturing,$40.30
munich re,$40.24 b,germany,2.89%,#499,-0.10%,🏦 insurance🇩🇪 dax,$279.42
hilton worldwide,$40.32 b,usa,35.25%,#496,0.26%,🏨 hotels🌴 travel,$144.69
fanuc,$40.09 b,japan,-17.06%,#501,-3.43%,,$209.00
saic motor,$40.05 b,china,-7.98%,#502,0.18%,🚗 automakers 🏭 manufacturing,$3.43
xpeng,$40.04 b,china,3.31%,#503,0.30%,🚗 automakers🔋 electric vehicles 🏭 manufacturing,$46.27
arista networks,$39.96 b,usa,-53.65%,#504,1.07%,👩‍💻 tech🔌 electronics📞 networking hardware💻 tech hardware,$130.04
epam systems,$39.91 b,usa,118.36%,#505,0.53%,💼 professional services,$703.74
fortescue,$39.88 b,australia,-15.92%,#506,-0.82%,⛏️ mining,$12.95
samsung sdi,$39.67 b,south korea,23.61%,#507,0.00%,🔋 electricity🔋 batteries,$301.51
capgemini,$39.51 b,france,63.71%,#508,-1.95%,💼 professional services🇫🇷 cac 40,$233.08
yum! brands,$39.31 b,usa,24.91%,#509,0.75%,🍔 restaurant chains,$134.12
palantir,$39.19 b,usa,-27.86%,#510,1.78%,👩‍💻 software👩‍💻 tech,$19.55
dsm,$39.07 b,netherlands,37.75%,#511,-2.49%,,$223.15
marathon petroleum,$39.05 b,usa,48.55%,#512,0.16%,,$63.44
ppg industries,$39.00 b,usa,12.83%,#513,0.16%,🧪 chemicals 🎨 paint & coating,$164.32
cement roadstone holding,$38.96 b,ireland,25.19%,#514,0.36%,cement🧱 building materials,$50.48
