"Name","World Rank (Sep-01-2021)","Annual Revenue in USD","Annual Net Income in USD","Market Value (Jan-01-2021)","Headquarters Country","Company Business","Number of Employees","Stock Category","CEO","Stock Exchange","Company Website"
"CHINA MOBILE","117","111,890 Million USD","15,996 Million USD","117.140 Billion USD","China","Telecom, Internet Providers, Communication Services","456,239","","Li Yue","HKeX, NYSE","https://www.chinamobileltd.com/"
"MARS INC","117","28,000 Million USD","","","USA","Animal Feed, Chocolate & Confectionery, Food Products","125,000","","","","https://www.chinamobileltd.com/"
"SERVICENOW","118","3,460 Million USD","627 Million USD","107.390 Billion USD","USA","Cloud Services, Software and IT, Technology","11,000","S&P 500","Bill McDermott","NYSE","https://www.chinamobileltd.com/"
"IBM","120","77,150 Million USD","9,430 Million USD","112.170 Billion USD","USA","Software and IT, Software Products, Technology","383,800","S&P 500, Dow Jones Index (DJIA)","Arvind Krishna","LSE, NYSE","https://www.chinamobileltd.com/"
"INTUITIVE SURGICAL","121","4,470 Million USD","1,379 Million USD","96.172 Billion USD","USA","Medical Equipment, HealthCare Products, Healthcare","8,081","Nasdaq 100, S&P 500","Gary S Guthart","Nasdaq","https://www.chinamobileltd.com/"
"REYES HOLDINGS","121","27,800 Million USD","","","USA","Alcoholic Beverages, Beer, Food and Beverage","29,000","","","","https://www.chinamobileltd.com/"
"PINDUODUO","122","8,924 Million USD","-1,077 Million USD","217.880 Billion USD","China","eCommerce, Internet or Mobile App Based Business, Consumer Cyclical","5,828","China ADRs","Colin Huang Zheng","Nasdaq","https://www.chinamobileltd.com/"
"ANHEUSER-BUSCH INBEV","123","46,880 Million USD","1,400 Million USD","136.860 Billion USD","Belgium","Beverages, Non-Alcoholic Beverages, Consumer Defensive","170,000","S&P EUROPE 350, EURONEXT 100","Michel Doukeris","Frankfurt, EURONEXT, NYSE","https://www.chinamobileltd.com/"
"SQUARE INC","124","4,710 Million USD","375 Million USD","98.142 Billion USD","USA","Software and IT, Digital Payment Solution Services, Technology","3,835","","","NYSE","https://www.chinamobileltd.com/"
"ESTEE LAUDER COMPANIES","125","14,863 Million USD","1,785 Million USD","96.256 Billion USD","USA","FMCG, Personal Care Products, Consumer Defensive","48,000","S&P 500","Fabrizio Freda","Frankfurt, NYSE","https://www.chinamobileltd.com/"
"JD.COM","126","111,870 Million USD","7,410 Million USD","137.290 Billion USD","China","eCommerce, Internet or Mobile App Based Business, Consumer Cyclical","227,730","China ADRs, Nasdaq 100","Liu Qiangdong","Frankfurt, Nasdaq","http://www.jd.com/"
"APPLIED MATERIALS","127","14,610 Million USD","2,706 Million USD","78.908 Billion USD","USA","Mobiles & Accessories, Semiconductors, Power Equipment","24,000","Nasdaq 100, S&P 500","Gary E. Dickerson","Nasdaq","http://www.jd.com/"
"HDFC BANK","128","19,119 Million USD","3,821 Million USD","107.380 Billion USD","India","Banking Services, Financial Services","116,971","S&P BSE FINANCE, BSE-100 Index, Nifty 50 Index, Nifty - Bank Index, Nifty - Financial Services Index, Nifty - Private Bank Index, INDIA ADRs, S&P BSE FINANCE, S&P BSE BANKEX","Sashidhar Jagdishan","NYSE, BSE","http://www.jd.com/"
"RIO TINTO GROUP","129","44,610 Million USD","9,769 Million USD","93.792 Billion USD","UK","Metals, Mining, Basic Materials","45,000","FTSE 100, S&P EUROPE 350, ASX 100","Jean-Sebastien Jacques","Frankfurt, ASX, LSE, NYSE","http://www.jd.com/"
"WULIANGYE YIBIN","130","7,515 Million USD","2,610 Million USD","178.970 Billion USD","China","Alcoholic Beverages, Beverages, Consumer Defensive","26,200","","Chen Lin","Shenzhen","http://www.jd.com/"
"TARGET CORPORATION","131","78,110 Million USD","3,281 Million USD","88.401 Billion USD","USA","Retail, eCommerce, Consumer Defensive","368,000","S&P 500","Brian Cornell","Frankfurt, NYSE","http://www.jd.com/"
"STATE FARM","131","81,730 Million USD","","","USA","Financial Services, Insurance","59,000","","","","http://www.jd.com/"
"SNAP INC","132","1,710 Million USD","-1,034 Million USD","74.603 Billion USD","USA","Internet or Mobile App Based Business, Social Media, Communication Services","3,863","","","NYSE","http://www.jd.com/"
"TORONTO-DOMINION BANK","133","34,568 Million USD","9,397 Million USD","102.400 Billion USD","Canada","Banking Services, Insurance, Financial Services","89,598","TSX 60","Bharat Masrani","TSX, NYSE","http://www.jd.com/"
"DEERE & COMPANY","134","38,940 Million USD","3,253 Million USD","84.310 Billion USD","USA","Agriculture Machinery, Construction Equipment, Industries","69,600","S&P 500","John C. May","Frankfurt, NYSE","http://www.jd.com/"
"TOTALENERGIES SE","135","119,700 Million USD","-7,242 Million USD","114.130 Billion USD","France","Oil and Gas, Chemicals, Energy","105,476","EURONEXT 100, S&P EUROPE 350, CAC 40","Patrick Pouyanne","EURONEXT, LSE, NYSE","https://totalenergies.com/"
"GENERAL ELECTRIC COMPANY","136","95,210 Million USD","-4,970 Million USD","94.607 Billion USD","USA","Aircraft Parts, Aerospace Products, Industries","205,000","S&P 500","H. Lawrence Culp Jr","EURONEXT, LSE, Switzerland, NYSE","https://totalenergies.com/"
"CATERPILLAR","137","53,800 Million USD","6,093 Million USD","98.884 Billion USD","USA","Agriculture Machinery, Machinery Manufacturing, Industries","102,300","S&P 500, Dow Jones Index (DJIA)","Jim Umpleby","Bovespa Brazil, NYSE","https://totalenergies.com/"
"CVS HEALTH CORPORATION","138","156,770 Million USD","6,634 Million USD","89.399 Billion USD","USA","Pharmacy, Healthcare Service, Healthcare","300,000","S&P 500","Larry J. Merlo","NYSE","https://totalenergies.com/"
"3M COMPANY","139","32,140 Million USD","4,570 Million USD","100.820 Billion USD","USA","Medical Equipment, Electronics, Industries","94,987","S&P 500, Dow Jones Index (DJIA)","Mike Roman","Switzerland, NYSE","https://totalenergies.com/"
"INGRAM MICRO","139","49,100 Million USD","","","USA","Technology, Logistics","35,000","","","","https://totalenergies.com/"
"VANGUARD GROUP","139","6,936 Million USD","","","USA","Investments, Financial Services, Asset Management","17,600","","","","https://totalenergies.com/"
"DIAGEO","140","16,215 Million USD","1,992 Million USD","91.733 Billion USD","UK","Beverages, Alcoholic Beverages, Consumer Defensive","27,775","S&P EUROPE 350, FTSE 100","Ivan Menezes","Frankfurt, LSE, NYSE","https://totalenergies.com/"
"SOFTBANK GROUP","141","56,284 Million USD","8,649 Million USD","142.980 Billion USD","Japan","Investments, Telecom, Communication Services","76,866","Japan ADRs, NIKKEI 225","Masayoshi Son","Frankfurt, Tokyo","https://totalenergies.com/"
"BYD COMPANY","142","23,490 Million USD","635 Million USD","77.908 Billion USD","China","Automobile, Bus Manufacturing, Consumer Cyclical","229,100","","","HKeX, Shenzhen","https://totalenergies.com/"
"AIRBUS","143","83,155 Million USD","-1,591 Million USD","85.683 Billion USD","Netherlands","Aerospace and Defense, Aeroplane, Industries","131,349","EURONEXT 100, S&P EUROPE 350, CAC 40","Guillaume Faury","Frankfurt, EURONEXT","https://www.airbus.com"
"HSBC HOLDINGS","144","68,060 Million USD","7,380 Million USD","105.160 Billion USD","UK","Banking Services, Insurance, Financial Services","226,059","S&P EUROPE 350, FTSE 100","Noel Quinn","HKeX, LSE, EURONEXT, NYSE","https://www.airbus.com"
"S&P GLOBAL","145","6,690 Million USD","2,123 Million USD","79.092 Billion USD","USA","Investments, Trading, Financial Services","22,500","S&P 500","Douglas L. Peterson","NYSE","https://www.airbus.com"
"KOCH INDUSTRIES","145","110,000 Million USD","","","USA","Oil and Gas, Metals, Energy","120,000","","","","https://www.airbus.com"
"BYTEDANCE","145","17,000 Million USD","","","China","Social Media, Internet or Mobile App Based Business, Technology","60,000","","","","https://www.airbus.com"
"INDITEX (INDUSTRIA DE DISENO TEXTIL)","146","33,370 Million USD","4,259 Million USD","99.765 Billion USD","Spain","Retail, Readymade Clothing, Consumer Cyclical","174,000","S&P EUROPE 350","Pablo Isla","Spain","https://www.airbus.com"
"CHINA LIFE INSURANCE COMPANY","147","109,410 Million USD","8,742 Million USD","138.790 Billion USD","China","Banking Services, Insurance, Financial Services","102,817","","Dairen Lin","HKeX, Shanghai, Taiwan, NYSE","https://www.airbus.com"
"STRYKER CORPORATION","148","14,880 Million USD","2,083 Million USD","92.084 Billion USD","USA","Medical Equipment, HealthCare Products, Healthcare","40,000","S&P 500","Kevin A. Lobo","NYSE","https://www.airbus.com"
"CSL","149","13,260 Million USD","3,063 Million USD","99.060 Billion USD","Australia","Pharmaceutical, Biotechnology, Healthcare","25,000","ASX 100","Paul Perreault","Frankfurt, ASX","https://www.airbus.com"
"MERCK KGAA O.N.","150","19,057 Million USD","1,544 Million USD","74.308 Billion USD","Germany","Pharmaceutical, Chemicals, Healthcare","57,036","","Stefan Oschmann","Borsa Italiana, Deutsche Borse","https://www.airbus.com"
"GAZPROM","151","99,575 Million USD","16,841 Million USD","69.570 Billion USD","Russia","Oil and Gas, Natural Gas Generation, Energy","473,800","","Alexey Miller","Russia","http://www.gazprom.com/"
"GLAXOSMITHKLINE","152","46,575 Million USD","6,357 Million USD","91.765 Billion USD","UK","Pharmaceutical, HealthCare Products, Healthcare","99,000","S&P EUROPE 350, FTSE 100","Dame Emma Walmsley","Frankfurt, LSE, NYSE","http://www.gazprom.com/"
"SBERBANK OF RUSSIA","153","29,972 Million USD","11,829 Million USD","78.877 Billion USD","Russia","Banking Services, Asset Management, Financial Services","281,000","","Herman Gref","Russia","http://www.gazprom.com/"
"KERING","154","18,742 Million USD","2,700 Million USD","90.434 Billion USD","France","Luxury Goods, Leather Products, Consumer Cyclical","34,902","S&P EUROPE 350, CAC 40","Francois-Henri Pinault","Frankfurt, Frankfurt, EURONEXT","http://www.gazprom.com/"
"INFOSYS","155","11,803 Million USD","2,329 Million USD","72.539 Billion USD","India","Software and IT, Software Products, Technology","279,617","S&P BSE TECHNOLOGY, BSE-100 Index, Nifty 50 Index, NIFTY - IT Index, INDIA ADRs, S&P BSE SOFTWARE and IT, S&P BSE SOFTWARE and IT","Salil Parekh","Frankfurt, NYSE, BSE","http://www.gazprom.com/"
"DEUTSCHE TELEKOM AG","156","118,850 Million USD","4,865 Million USD","87.242 Billion USD","Germany","Telecom, Mobile Services, Communication Services","226,300","S&P EUROPE 350","Timotheus Hottges","EURONEXT, Deutsche Borse","http://www.gazprom.com/"
"LOCKHEED MARTIN CORPORATION","157","59,810 Million USD","6,230 Million USD","99.318 Billion USD","USA","Aerospace Products, Defense Products, Industries","110,000","S&P 500","Marillyn Hewson","Bovespa Brazil, NYSE","http://www.gazprom.com/"
"SCHNEIDER ELECTRIC","158","32,037 Million USD","2,820 Million USD","79.856 Billion USD","France","Automation, Building Automation, Power Equipment","135,000","EURONEXT 100, S&P EUROPE 350, CAC 40","Jean-Pascal Tricoire","Frankfurt, EURONEXT","http://www.gazprom.com/"
"PROLOGIS","159","3,330 Million USD","1,573 Million USD","73.671 Billion USD","USA","Property Investments, Investments, Real Estate","1,712","S&P 500","Hamid Moghadam","NYSE","http://www.gazprom.com/"
"SAUDI BASIC INDUSTRIES CORPORATION (SABIC)","160","103,380 Million USD","1,501 Million USD","81.120 Billion USD","Saudi Arabia","Chemicals, Petrochemicals, Basic Materials","32,721","","Yousef Al-Benyan","Tadawul","http://www.gazprom.com/"
"NIPPON TELEGRAPH AND TELEPHONE CORPORATION","161","108,110 Million USD","7,691 Million USD","93.952 Billion USD","Japan","Telecom, Mobile Services, Communication Services","303,351","Japan ADRs, NIKKEI 225","Jun Sawada","Frankfurt, Tokyo","http://www.ntt.co.jp"
"ALLIANZ SE","162","133,330 Million USD","9,255 Million USD","100.760 Billion USD","Germany","Insurance, Asset Management, Financial Services","147,268","S&P EUROPE 350","Oliver Bate","Deutsche Borse","http://www.ntt.co.jp"
"ROBERT BOSCH","163","91,686 Million USD","","","Germany","Engineering Products, Technology Hardware and Instruments, Technology","400,000","","","","http://www.ntt.co.jp"
"AIRBNB","163","4,700 Million USD","","87.705 Billion USD","USA","Rent / Lease Services, Consumer Services, Internet or Mobile App Based Business","6,300","","","Nasdaq","http://www.ntt.co.jp"
"ZOETIS","164","6,260 Million USD","1,500 Million USD","78.657 Billion USD","USA","Pharmaceutical, Healthcare Service, Healthcare","10,000","S&P 500","Kristin C. Peck","Frankfurt, NYSE","http://www.ntt.co.jp"
"NTT DOCOMO","165","42,999 Million USD","6 Million USD","94.935 Billion USD","Japan","Telecom, Mobile Services, Communication Services","27,558","NIKKEI 225","Kazuhiro Yoshizawa","Tokyo","http://www.ntt.co.jp"
"RECRUIT HOLDINGS","166","21,021 Million USD","1,568 Million USD","68.350 Billion USD","Japan","Internet or Mobile App Based Business, Consulting Services, Industries","45,856","NIKKEI 225","Masumi Minegishi","Frankfurt, Tokyo","http://www.ntt.co.jp"
"ADYEN","167","3,135 Million USD","239 Million USD","70.244 Billion USD","Netherlands","Digital Payment Solution Services, Software Products, Technology","1,750","S&P EUROPE 350, EURONEXT 100","","EURONEXT","http://www.ntt.co.jp"
"VALE","168","7,514 Million USD","-319 Million USD","85.977 Billion USD","Brazil","Mining, Metals, Basic Materials","71,149","","Eduardo Bartolomeo","NYSE","http://www.ntt.co.jp"
"BOOKING HOLDINGS","169","15,060 Million USD","4,865 Million USD","91.218 Billion USD","USA","Internet or Mobile App Based Business, Travel and Transport, Consumer Cyclical","24,500","Nasdaq 100, S&P 500","Glenn D. Fogel","Bovespa Brazil, Nasdaq","http://www.ntt.co.jp"
"ENEL","170","73,775 Million USD","2,544 Million USD","102.430 Billion USD","Italy","Electric Utilities, Gas Utilities, Utilities","68,253","S&P EUROPE 350","Francesco Starace","Borsa Italiana","https://www.enel.com/"
"AUDI AG","171","212,870 Million USD","","82.150 Billion USD","Germany","Automobile, Cars, Consumer Cyclical","90,640","","Markus Duesmann","Deutsche Borse","https://www.enel.com/"
"MERCADOLIBRE","171","3,973 Million USD","-4 Million USD","83.543 Billion USD","Argentina","eCommerce, Business Services, Consumer Cyclical","15,500","Nasdaq 100","Stelleo Passos Tolda","Nasdaq","https://www.enel.com/"
"DELOITTE","171","47,600 Million USD","","","UK","Professional Services, Consulting Services, Business Services","330,000","","Anders Dons","","https://www.enel.com/"
"ALTRIA GROUP","172","19,790 Million USD","-1,293 Million USD","76.195 Billion USD","USA","Tobacco Products, Cigarettes, Consumer Defensive","7,300","S&P 500","Howard Willard","Mexico, NYSE","https://www.enel.com/"
"ATLASSIAN CORPORATION","173","895 Million USD","-465 Million USD","58.281 Billion USD","Australia","Software and IT, Software Products, Technology","4,907","","","Frankfurt, Nasdaq","https://www.enel.com/"
"ANTHEM","174","104,210 Million USD","4,807 Million USD","79.856 Billion USD","USA","Insurance, Financial Services, Healthcare","70,600","S&P 500","Gail Koziara Boudreaux","NYSE","https://www.enel.com/"
"CARGILL","174","114,700 Million USD","","","USA","Agriculture Related, Food Products, Agriculture Products","166,000","","","","https://www.enel.com/"
"GILEAD SCIENCES","175","22,450 Million USD","5,386 Million USD","73.031 Billion USD","USA","Biotechnology, Biopharmaceutical, Healthcare","11,800","Nasdaq 100, S&P 500","Daniel O'Day","Bovespa Brazil, Nasdaq","https://www.enel.com/"
"SNOWFLAKE","176","264 Million USD","-348 Million USD","79.664 Billion USD","USA","Cloud Services, Software and IT, Technology","2,100","","","NYSE","https://www.enel.com/"
"BLACKSTONE GROUP","177","7,420 Million USD","2,050 Million USD","44.976 Billion USD","USA","Investments, Asset Management, Financial Services","2,905","","Stephen A. Schwarzman","NYSE","https://www.blackstone.com/"
"DAIMLER AG","178","203,830 Million USD","2,773 Million USD","75.286 Billion USD","Germany","Automobile, Cars, Consumer Cyclical","298,655","S&P EUROPE 350","Ola Kallenius","Deutsche Borse","https://www.blackstone.com/"
"HINDUSTAN UNILEVER","179","5,031 Million USD","840 Million USD","76.920 Billion USD","India","FMCG, Food Products, Consumer Defensive","21,000","BSE-100 Index, Nifty 50 Index, Nifty - FMCG Index, S&P BSE FMCG, S&P BSE FMCG","Sanjiv Mehta","NSE, BSE","https://www.blackstone.com/"
"AUTOMATIC DATA PROCESSING (ADP)","180","14,175 Million USD","2,292 Million USD","75.557 Billion USD","USA","Software Products, Software and IT, Industries","58,000","Nasdaq 100, S&P 500","Carlos A. Rodriguez","Nasdaq","https://www.blackstone.com/"
"ANALOG DEVICES","181","5,990 Million USD","1,359 Million USD","54.584 Billion USD","USA","Electronics, Semiconductors, Technology","15,900","Nasdaq 100, S&P 500","Vincent Roche","Nasdaq","https://www.blackstone.com/"
"THE TJX COMPANIES","182","41,720 Million USD","3,272 Million USD","81.991 Billion USD","USA","Retail, Clothing, Consumer Cyclical","286,000","S&P 500","Ernie Herrman","NYSE","https://www.blackstone.com/"
"ESSILOR LUXOTTICA","183","20,520 Million USD","1,252 Million USD","67.824 Billion USD","France","Eyewear, Retail, Healthcare","150,000","EURONEXT 100, S&P EUROPE 350, CAC 40","Hubert Sagnieres","EURONEXT, Frankfurt, Borsa Italiana","https://www.blackstone.com/"
