medical_specialty;doc_name;hospital;hospital_affiliations;doc_special_expertise;hospital_address;hospital_telephone
Endocrinology, Diabetes & Metabolism;Darwin L. Brown, MD;Diabetes & Endocrinology Associates; Emory Decatur Hospital; diabetes, thyroid disorders;2665 North Decatur Road, Suite 520, Decatur, 30033;404-299-2223
Endocrinology, Diabetes & Metabolism;Rachel Derr, MD;Endocrine Specialists of Atlanta; Northside Hospital; thyroid disorders, parathyroid disorders;975 Johnson Ferry Road NE, Suite 400, Atlanta, 30342;404-843-4000
Obstetrics & Gynecology;Vanessa Biggs, MD;Atlanta Women’s Obstetrics & Gynecology; Piedmont Atlanta Hospital; women’s health;275 Collier Road NW, Suite 230, Atlanta, 30309;404-352-3616
Obstetrics & Gynecology;Catherine M. Bonk, MD;Atlanta Gynecology & Obstetrics; Emory Decatur Hospital;;315 Winn Way, Decatur, 30030;404-299-9724
Cardiovascular Disease;Meryl L. Braunstein, MD;Atlanta Heart Associates; Piedmont Henry Hospital; noninvasive cardiology;350 Country Club Drive, Suite C, Stockbridge, 30281;770-692-4000
Cardiovascular Disease;Kimberly P. Champney, MD;Northside Cardio­vascular Care; Northside Hospital; preventive cardiology, heart disease in women, heart disease in cancer patients, cardiac imaging;980 Johnson Ferry Road, Suite 520, Atlanta, 30342;404-303-3320
Cardiovascular Disease;Sandeep Chandra, MD;Atlanta Heart Specialists; Emory Decatur Hospital, Emory Johns Creek Hospital; nuclear cardiology, cardiac catheterization;1468 Montreal Road East, Tucker, 30084;770-638-1400
Diagnostic Radiology;Maria Piraner, MD;Center for Breast Care Emory Johns Creek Hospital; Emory Johns Creek Hospital, Emory University Hospital; breast cancer, breast imaging, MRI (breast), mammography (3D digital);6335 Hospital Parkway, Suite 106, Johns Creek, 30097;678-474-5602
Diagnostic Radiology;Douglas H. Seeb, MD;North Metropolitan Radiology Associates; Northside Hospital Lawrenceville, Northside Hospital Duluth; abdominal imaging, gastrointestinal imaging;1000 Medical Center Boulevard, Lawrence­ville, 30046;678-312-2400
Thoracic & Cardiac Surgery;W. Morris Brown III, MD;Piedmont Heart Institute; Piedmont Atlanta Hospital; cardiothoracic surgery, endovascular surgery, aortic surgery;95 Collier Road NW, Suite 5015, Atlanta, 30309;404-605-5151
Surgery;Eddie K. Abdalla, MD;Atlanta Liver & Pancreas Surgical Specialists; Northside Hospital; liver and biliary cancer, liver cancer (metastatic), pancreatic cancer, neuroendocrine tumors;980 Johnson Ferry Road, Suite 170, Atlanta, 30342;404-300-2140
Sports Medicine;Neeru A. Jayanthi, MD;Emory Orthopaedics & Spine Center; Emory Johns Creek Hospital, Emory University Hospital; sports injuries;6335 Hospital Parkway, Suite 302, Johns Creek, 30097;404-778-3350
Sleep Medicine;Sarah J. Hayat, MD;Gwinnett Pulmonary Group; Northside Hospital Lawrenceville;;631 Professional Drive, Suite 350, Lawrence­ville, 30046;770-995-0630
Rheumatology;Marta T. Bognar, MD;Arthritis Center of North Georgia; rheumatoid arthritis, psoriatic arthritis, osteoporosis, lupus/SLE;;961 Smoky Mountain Springs Lane, Suite A, Gainesville, 30501;770-531-3711
Orthopaedic Surgery;Erroll J. Bailey, MD;Resurgens Orthopaedics; Emory University Hospital Midtown, Emory Saint Joseph’s Hospital; foot and ankle surgery, sports injuries (foot and ankle);550 Peachtree Street NE, Suite 1900, Atlanta, 30308;404-215-2000
Orthopaedic Surgery;Michael P. Bernot, MD;Peachtree Orthopedics; Northside Hospital, Piedmont Atlanta Hospital; sports injuries, fractures;3200 Downwood Circle NW, Suite 700, Atlanta, 30327;404-355-0743
Reproductive Endocrinology/Infertility;Pavna Brahma, MD;Shady Grove Fertility Atlanta; Northside Hospital; infertility (IVF);2061 Peachtree Road NW, Atlanta, 30309;404-843-2229
Vascular Surgery;Thomas F. Dodson, MD;Emory Clinic; Emory University Hospital; endovascular surgery, aneurysm (abdominal and thoracic aortic), peripheral vascular disease, carotid endarterectomy;1365 Clifton Road NE, Building A, Floor 2, Atlanta, 30322;404-778-3712
Vascular Surgery;Yazan Duwayri, MD;Vascular Surgery; Emory University Hospital; endovascular surgery, aneurysm (abdominal and thoracic aortic), carotid artery angioplasty and stent, renovascular disease;Emory Clinic, 1365 Clifton Road NE, Building A, Floor 2, Atlanta, 30322;404-778-3712
Radiation Oncology;Tosha Balfour-Williams, MD;Northside Hospital Cancer Institute; Northside Hospital, Emory Decatur Hospital; breast cancer, prostate cancer, lung cancer;1000 Johnson Ferry Road NE, Atlanta, 30342;404-851-8850
Cardiac Electrophysiology;Shahriar Iravanian, MD;The Southeast Permanente Medical Group; Northside Hospital, Northside Hospital Lawrenceville; arrhythmias, pacemaker/defibrillators;Glenlake Medical Center, 20 Glenlake Parkway NE, Atlanta, 30328;404-365-0966
Cardiac Electrophysiology;Narendra K. Kanuru, MD;Wellstar Cardiovascular Medicine; West Georgia Medical Center, Wellstar Kennestone Hospital; arrhythmias, pacemaker/defibrillators, defibrillator cable extraction;55 Whitcher Street NE, Suite 430, Marietta, 30060;770-424-6893
Dermatology;Gregory J. Cox, MD;Forefront Dermatology; Northside Hospital, Children’s Healthcare of Atlanta at Scottish Rite; cosmetic dermatology, medical dermatology;5505 Peachtree Dunwoody Road, Suite 412, Atlanta, 30342;404-459-9177
Dermatology;George F. Dobo, MD;Marietta Dermatology Associates;;;111 Marble Mill Road NW, Marietta, 30060;770-422-1013
Vascular & Interventional Radiology;Jason R. Levy, MD;Northside Radiology Associates; Northside Hospital, Northside Hospital Forsyth; interventional oncology, uterine fibroid embolization, pelvic congestion syndrome, chemoembolization and tumor ablation;1000 Johnson Ferry Road, Atlanta, 30342;404-851-6713
Urology;Vishal Bhalani, MD;Advanced Urology; Emory Johns Creek Hospital, Northside Hospital Forsyth; incontinence (male and female), incontinence after prostate cancer, robotic surgery, minimally invasive urologic surgery;10730 Medlock Bridge Road, Johns Creek, 30097;678-344-8900
Urology;Daniel Canter, MD;Georgia Urology; Northside Hospital, Emory Decatur Hospital; bladder cancer, genitourinary cancer, clinical trials, urologic cancer;2685 Milscott Drive, Decatur, 30033;404-292-3727
Gastroenterology;Alan M. Fixelle, MD;Gastro Consultants of Atlanta; Emory Saint Joseph’s Hospital, Northside Hospital; endoscopy, inflammatory bowel disease, liver disease, biliary disease;5669 Peachtree Dunwoody Road NE, Suite 270, Atlanta, 30342;404-255-1000
Gastroenterology;Temitope Y. Foster, MD;DeKalb Gastroenterology Associates; Emory Decatur Hospital, Emory Hillandale Hospital; colon cancer screening, digestive disorders, liver disease;2675 North Decatur Road, Suite 506, Decatur, 30033;404-299-1639
Urogynecology/ Female Pelvic Medicine & Reconstructive Surgery;Peter C.C. Mann, MD;Northside Gwinnett Women’s Health; Northside Hospital Lawrenceville; pelvic organ prolapse repair, urogynecology;1800 Tree Lane, Suite 300, Snellville, 30078;770-972-6464
Urogynecology/ Female Pelvic Medicine & Reconstructive Surgery;John R. Miklos, MD;Miklos & Moore Urogynecology; Northside Hospital; urogynecology, pelvic reconstruction, laparoscopic surgery, vaginal reconstruction;11975 Morris Road, Suite 140, Alpharetta, 30005;770-475-4499
Pediatrics;Mark W. Hutson, MD;Children’s Medical Group; Children’s Healthcare of Atlanta at Egleston, Children’s Healthcare of Atlanta at Scottish Rite;;1875 Century Boulevard NE, Suite 150, Atlanta, 30345;404-633-4595
Internal Medicine;Patrick S. Coleman, MD;Piedmont Physicians Group; Piedmont Atlanta Hospital; diabetes, hypertension, cholesterol/lipid disorders, preventive medicine;232 19th Street, Suite 7220, Atlanta, 30363;404-367-3000
Internal Medicine;Amber H. Driskell, MD;Wellstar Internal Medicine-Austell; Wellstar Cobb Hospital;;1605 Mulkey Road, Suite 220, Austell, 30106;470-956-3760
Endocrinology, Diabetes & Metabolism;Rodolfo J. Galindo, MD;Emory University Hospital Midtown; Emory University Hospital Midtown, Emory University Hospital; diabetes;550 Peachtree Street NE, Medical Office Tower, Floor 19, Suite 1950, Atlanta, 30308;404-778-3280
Endocrinology, Diabetes & Metabolism;Monica N. Giles, MD;Department of Endocrinology; Emory University Hospital;;Emory Clinic, 1365 Clifton Road NE, Building A, Floor 3, Atlanta, 30322;404-778-3280
Obstetrics & Gynecology;Pamela J. Brown, MD;Gynecology & Obstetrics of DeKalb; Emory Decatur Hospital; gynecology only, gynecologic surgery;2801 North Decatur Road, Suite 190, Decatur, 30033;404-299-9307
Obstetrics & Gynecology;Sue Ellen Carpenter, MD;Bloom Fertility, North Atlanta Perimeter area; Northside Hospital; infertility, IVF, Invocelle;678-597-9933;
Cardiovascular Disease;George L. Chang, MD;Emory Heart & Vascular Center; Emory Saint Joseph’s Hospital, Emory University Hospital;;5671 Peachtree Dunwoody Road, Suite 300, Atlanta, 30342;404-778-5299
Cardiovascular Disease;Victor E. Corrigan, MD;Piedmont Heart Institute; Piedmont Atlanta Hospital; cardiac catheterization, interventional cardiology, transplant medicine (heart);95 Collier Road NW, Suite 2065, Atlanta, 30309;404-605-2888
Diagnostic Radiology;Lawrence B. Stone, MD;Georgia Perinatal Consultants; Northside Hospital, Piedmont Atlanta Hospital; obstetric ultrasound, fetal imaging;1000 Johnson Ferry Road NE, Atlanta, 30342;404-851-8988
Diagnostic Radiology;Steven C. Storey, MD;Radiology Associates of DeKalb; Emory Decatur Hospital, Emory Hillandale Hospital; interventional radiology;2675 North Decatur Road, Suite 310, Decatur, 30033;404-564-5400
Thoracic & Cardiac Surgery;Mani A. Daneshmand, MD;Emory Heart & Vascular Center; Emory University Hospital, Emory University Hospital Midtown; transplant (heart and lung), lung surgery, heart failure and ventricular containment, minimally invasive cardiac surgery;1365 Clifton Road NE, Building A, Floor 2, Atlanta, 30322;404-778-7973
Surgery;Chris S. Andersen, MD;Wellstar Medical Group Summit Surgical; Wellstar Kennestone Hospital; hernia (complex), laparoscopic surgery, thyroid and parathyroid surgery;590 Nancy Street, Marietta, 30060;770-423-0395
Sports Medicine;Steven B. Wertheim, MD;Resurgens Orthopaedics; Emory Saint Joseph’s Hospital; arthroscopic surgery, reconstructive surgery, knee surgery, shoulder surgery;5671 Peachtree Dunwoody Road, Suite 700, Atlanta, 30342;404-847-9999
Sleep Medicine;Rajesh R. Jasani, MD;Gwinnett Pulmonary Group; Northside Hospital Lawrenceville;;631 Professional Drive, Suite 350, Lawrence­ville, 30046;770-995-0630
Sleep Medicine;Vosudesh K. Pai, MD;Gwinnett Pulmonary Group; Northside Hospital Lawrenceville;;631 Professional Drive, Suite 350, Lawrence­ville, 30046;770-995-0630
Rheumatology;Alan J. Gottlieb, MD;Laureate Medical Group; Northside Hospital; rheumatoid arthritis, inflammatory arthritis, lupus/SLE, collagen vascular disorders;7823 Spivey Station Boulevard, Suite 310, Jonesboro, 30236;404-649-6998
Rheumatology;Arezou Khosroshahi, MD;Department of Rheumatology; Emory University Hospital; lupus/SLE, vasculitis, rheumatoid arthritis, autoimmune disease;Emory Clinic, 1365 Clifton Road NE, Building A, Floor 3, Atlanta, 30322;404-778-4366
Orthopaedic Surgery;Scott D. Boden, MD;Emory Orthopaedics & Spine Center; Emory University Hospital, Emory University Orthopaedic & Spine Hospital; spinal disorders, spinal surgery, spinal disc replacement, microdiscectomy;59 Executive Park South NE, Atlanta, 30329;404-778-3350
Orthopaedic Surgery;Thomas Lane Bradbury Jr., MD;Emory Orthopaedics & Spine Center; Emory University Orthopaedic & Spine Hospital, Emory University Hospital Midtown; hip replacement (anterior approach), hip replacement and revision, hip replacement (young adults), hip disorders and dysplasia;1459 Montreal Road, Tucker, 30084;404-778-3350
Reproductive Endocrinology/Infertility;Kathryn C. Calhoun, MD;Atlanta Center for Reproductive Medicine; Northside Hospital; infertility (IVF), miscarriage (recurrent), ovarian failure, reproductive surgery;5909 Peachtree Dunwoody Road, Suite 600, Atlanta, 30328;770-928-2276
Reproductive Endocrinology/Infertility;N. Edward Dourron, MD;Pathways Fertility; Northside Hospital, Piedmont Atlanta Hospital; infertility (IVF), tubal ligation reversal, endometriosis, miscarriage (recurrent);3193 Howell Mill Road NW, Suite 214, Atlanta, 30327;404-228-7199
Vascular Surgery;Peter B. H’Doubler Jr., MD;Emory Clinic Vascular Surgery; Emory Saint Joseph’s Hospital, Northside Hospital; aneurysm, peripheral vascular surgery, carotid endarterectomy, vascular access;5673 Peachtree Dunwoody Road, Suite 625, Atlanta, 30342;678-843-5400
Vascular Surgery;Catalin Harbuzariu, MD;Northside Vascular Surgery; Northside Hospital, Northside Hospital Forsyth; aneurysm (abdominal and thoracic aortic), carotid artery angioplasty and stent, carotid body tumors, peripheral vascular disease;980 Johnson Ferry Road, Suite 1040, Atlanta, 30342;770-292-3490
Radiation Oncology;James B. Benton, MD;Radiotherapy Clinics of Georgia; Emory Decatur Hospital, Northside Hospital; prostate cancer, breast cancer, colon and rectal cancer, lung cancer;2349 Lawrenceville Highway, Decatur, 30033;404-320-1550
Radiation Oncology;Jeffrey D. Bradley, MD;Emory Winship Cancer Institute; lung cancer, thoracic cancers, esophageal cancer, clinical trials;;1365 Clifton Road NE, Building C, Atlanta, 30322;404-778-3478
Cardiac Electrophysiology;Anand Shantilal Kenia, MD;Wellstar Medical Group; Wellstar Atlanta Medical Center, Wellstar North Fulton Hospital; atrial fibrillation;4500 Hospital Boulevard, Suite 320, Roswell, 30076;770-410-4520
Cardiac Electrophysiology;Mohammad Kooshkabadi, MD;Wellstar Cardiovascular Medicine; Wellstar Atlanta Medical Center, Wellstar Kennestone Hospital; arrhythmias, atrial fibrillation, ventricular tachycardia ablation, pacemaker/defibrillators;229 Peachtree Street NE, Suite 1200, Atlanta, 30303;404-874-1788
Dermatology;Charles J. Douchy, MD;North Atlanta Dermatology; Emory Johns Creek Hospital, Northside Hospital Lawrenceville; medical dermatology, Sculpsure, acne, psoriasis;3850 Pleasant Hill Road, Duluth, 30096;770-814-8222
Dermatology;V. Rutledge Forney, MD;Dermatology Affiliates; skin cancer, dermatologic surgery, cosmetic dermatology;;3131 Maple Drive, Suite 102, Atlanta, 30305;404-816-7900
Vascular & Interventional Radiology;Curtis A. Lewis, MD;Department of Radiology; Grady Memorial Hospital, Emory University Hospital; interventional radiology, vein disorders;Grady Memorial Hospital, 80 Jesse Hill Jr. Drive SE, Atlanta, 30303;404-616-3300
Vascular & Interventional Radiology;Thomas P. Murphy, MD;Quantum Radiology; Wellstar Kennestone Hospital, Wellstar Douglas Hospital; interventional radiology, interventional oncology, chemoembolization and tumor ablation, spinal imaging and intervention;790 Church Street, Suite 400, Marietta, 30060;678-581-3830
Pulmonary Disease;Robert J. Albin, MD;North Atlanta Pulmonary & Sleep Specialists; Northside Hospital, Emory Saint Joseph’s Hospital; sleep disorders;993 Johnson Ferry Road, Building C, Suite 300, Atlanta, 30342;404-303-1700
Urology;Carl C. Capelouto, MD;Georgia Urology; Northside Hospital Cherokee, Wellstar Kennestone Hospital; erectile dysfunction, voiding dysfunction, incontinence (male and female), vasectomy;470 Northside Cherokee Boulevard, Suite 210, Canton, 30115;770-720-7246
Gastroenterology;Charles A. Fox, MD;Atlanta Gastroenterology Associates; Emory University Hospital Midtown, Emory Decatur Hospital; endoscopy, pancreatic/biliary endoscopy (ERCP), gastroesophageal reflux disease (GERD), colon cancer screening;550 Peachtree Street NE, Suite 1600, Atlanta, 30308;404-881-1094
Gastroenterology;Sachin Goel, MD;Gastrointestinal Specialists of Georgia; Wellstar Kennestone Hospital, Wellstar Douglas Hospital; endoscopic ultrasound;711 Canton Road, Suite 300, Marietta, 30060;678-741-5000
Urogynecology/ Female Pelvic Medicine & Reconstructive Surgery;Robert D. Moore, DO;Miklos & Moore Urogynecology; Northside Hospital; urogynecology, laparoscopic surgery, vaginal reconstruction;11975 Morris Road, Suite 140, Alpharetta, 30005;770-475-4499
Pediatrics;Sally J. Marcus, MD;Northside Pediatrics; Northside Hospital, Children’s Healthcare of Atlanta at Scottish Rite; breastfeeding, preventive medicine, asthma;6095 Barfield Road, Suite 200, Sandy Springs, 30328;404-256-2688
Internal Medicine;Sairus Faruque, MD;Center for Medicine; Emory Saint Joseph’s Hospital, Northside Hospital; preventive medicine;5667 Peachtree Dunwoody Road, Suite 150, Atlanta, 30342;404-256-0775
Internal Medicine;Carter E. Gibson, MD;Village Medical; Emory Hillandale Hospital, Emory Decatur Hospital; hypertension, nutrition;2745 Dekalb Medical Parkway, Suite 200, Lithonia, 30058;404-446-3870
Endocrinology, Diabetes & Metabolism;Jennifer Gilligan, MD;Piedmont Physicians Endocrinology-Buckhead; Piedmont Atlanta Hospital; osteoporosis, pituitary and adrenal disorders;35 Collier Road NW, Suite 775, Atlanta, 30309;404-367-3210
Endocrinology, Diabetes & Metabolism;Matthey T. Harris, MD;Northeast Georgia Diagnostic Clinic; Northside Hospital Forsyth; thyroid disorders, cholesterol/lipid disorders, diabetes, osteoporosis;1240 Jesse Jewell Parkway SE, Suite 500, Gainesville, 30501;770-536-9864
