medical_specialty;board_certifications;doc_name;doc_gender;doc_languages;hospital;hospital_affiliations;hospital_telephone;fellowships;education_and_training_medical_school;education_and_training_internship;education_and_training_residency
Cytologist Pathologist;ABMS Pathology;George G. Birdsong, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Texas SW Medical School @ Dallas;Emory University School of Medicine;Emory University School of Medicine
Dental Medicine;;Kailehia N.  Binns, DDS;Female;;Ponce De Leon Center;Grady;(404) 616-1000;;;;
Internal Medicine;ABMS Internal Medicine;Victor J. Blake, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Mount Sinai Medical Center;Howard University;Howard University
Pediatric Medicine;ABMS Pediatrics;Chevon M. Brooks, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Howard University College of Medicine;;Morehouse School Of Medicine
Neurology;ABMS Psychiatry/Neurology;Nirav R. Bhatt, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Jackson Memorial Hospital;C U Shah Medical College;Jackson Memorial Hospital;Jackson Memorial Hospital
Cardiovascular Disease;ABMS Internal Medicine;Heather L. Bloom, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Vermont College of Medicine;Berkshire Medical Center;St. Mary's Hospital & Medical Center
Pediatric Surgery;ABMS Surgery;Amina M. Bhatia, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Columbia University College of Physicians & Surgeons;University of New Mexico Medical School;University of New Mexico
Vascular Surgery;ABMS Surgery;Irwin M. Best, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Stony Brook University Hospital;University of Rochester School of Medicine & Dentistry;Stony Brook University Hospital;Stony Brook University Hospital
Psychiatry;ABMS Psychiatry/Neurology;Farzana M. Bharmal, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Liaquat Medical College;;Morehouse School of Medicine
Internal Medicine;ABMS Internal Medicine;Lisa B. Bernstein, MD, FACP;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Medical College of Georgia School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Pediatric Emergency Medicine;ABMS Pediatrics;Tal E. Berkowitz, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;John Hopkins University School of Medicine;;Johns Hopkins University School of Medicine
Pediatric Infectious Diseases;ABMS Pediatrics;Frank E. Berkowitz, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Colorado at Denver and Health Sciences Center;University of Witwatersrand;University of Witwatersrand;University of Witwatersrand
Oral & Maxillofacial Surgery;ABMS Oral & Maxillofacial Surgery;Shelly  Abramowicz, DMD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;;;University of Florida
Hematology/Oncology;ABMS Internal Medicine;Abeer N. AbouYabis, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;American University of Beirut Medical Center;;Emory University School of Medicine
Emergency Medicine;ABMS Emergency Medicine;Jeremy D. Ackerman, MD, PhD, FACEP;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of North Carolina School of Medicine;;Stony Brook University Hospital
Ophthalmology;ABMS Ophthalmology;Maria E. Aaron, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Vanderbilt University College of Medicine;Atlanta Medical Center;Emory University School of Medicine
Medical Oncology;ABMS Internal Medicine;Leon  Bernal, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Washington University School of Medicine;Medicine, Universidad Del Valle;;Jackson Memorial Hospital
Psychiatry;ABMS Psychiatry/Neurology;Patrick J. Amar, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Cincinnati College of Medicine;;Emory University School of Medicine
Neurology;ABMS Psychiatry/Neurology;Nicolas A. Bianchi, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Miami-Jackson Memorial Hospital;Universidad Catolica;University of Miami-Jackson Memorial Hospital;University of Miami-Jackson Memorial Hospital
Neurology;ABMS Neurological Surgery;Abdulrahman  Alwaki, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Mayo Clinic;ECFMG-University of Aleppo Faculty of Medicine;Henry Ford Hospital;Henry Ford Hospital
Endocrinology, Diab-Met.;ABMS Internal Medicine;Elsie M. Allen, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University Massachusetts Medical Center;Tufts University School of Medicine;;The memorial hospital
Internal Medicine;;Samantha  Alonso, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Massachusetts;;
Pediatrics;ABMS Pediatrics;Michelle H. Allen, MD, FAAP;Female;;Camp Creek Comprehensive Care Center;Grady;(404) 616-1000;;Florida State University College of Medicine;;Morehouse School of Medicine
Internal Medicine;ABMS Internal Medicine;Anna M. Acosta, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;NYU School of Medicine;;Emory University School of Medicine
Pediatric Medicine;ABMS Pediatrics;Saira I. Alimohamed, MD;Female;;Brookhaven Health Center;Grady;(404) 616-1000;;Brown Medical School;;Emory University School of Medicine
Pediatric Medicine;ABMS Pediatrics;Leonid  Bederman, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Cinncinatti;;Emory University Hospital
Pediatric Otolaryngology;;Kristan P. Alfonso, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;SUNY Upstate Medical School;University of Kentucky;
Ophthalmology;ABMS Ophthalmology;Allen D. Beck, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;Atlanta Medical Center;Emory University School of Medicine
Pulmonary Disease;;Rabih I. Bechara, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;Emory University School of Medicine;American University of Beirut Medical Center;;Emory University School of Medicine
Diagnostic Radiology;ABMS Radiology;Jason W. Allen, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Georgetown University;;New York University
Nuclear Medicine;ABMS Nuclear Medicine;Yoram S. Baum, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Universita degli Studi di 3 Largo Brambilla;Emory University Hospital;Emory University Hospital
Orthopaedics;;Jerad D. Allen, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Harborview Medical Center;University of Kentucky;University of Kentucky;University of Kentucky
Emergency Medicine;ABMS Emergency Medicine;Nicole J. Battaglioli, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Ross University School of Medicine;;York Hospital
Pediatric Medicine;ABMS Pediatrics;Ezra J. Barzilay, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Tufts University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Internal Medicine;ABMS Internal Medicine;Khalid  Bashir, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;State University of New York @ Buffalo School of Medicine;Government Medical College;;Sisters Of Charity Hospital
Internal Medicine;;Mohammed H. Alkubeysi, MD;Male;;Camp Creek Comprehensive Care Center;Morehouse;(404) 616-1000;;;;
Otolaryngology;ABMS Otolaryngology;Emily M. Barrow, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;;Emory University Hospital
Internal Medicine;ABMS Internal Medicine;Caitlin R. Anderson, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School Of Medicine;;Emory University School Of Medicine
Neurological Surgery;ABMS Neurological Surgery;Daniel L. Barrow, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Southern Illinois University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Neuroradiology;ABMS Radiology;Kristen L. Baugnon, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Texas Medical Branch at Galveston;University of Florida College of Medicine;Emory University School of Medicine
Vascular Neurology;ABMS Psychiatry/Neurology;Aaron M. Anderson, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Alabama;Indiana University School of Medicine;University of Alabama;University of Alabama
Orthopaedic Surgery;ABMS Orthopaedic Surgery;Dheera  Ananthakrishnan, MD;Female;French;Grady Memorial Hospital;Emory;(404) 616-1000;University of California San Francisco School of Medicine;Albany Medical College;;University of Illinois at Chicago Medical Center
Emergency Medicine;ABMS Emergency Medicine;Douglas S. Ander, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Hahnemann University;Henry Ford Hospital;Henry Ford Hospital
Diagnostic Radiology;ABMS Radiology;Sagar B. Amin, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Maryland Medical Center;University of Missouri Kansas City School of Medicine;University of Missouri Kansas City School of Medicine;University of Florida College of Medicine
Oral & Maxillofacial Surgery;;Dina  Amin, DDS;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Alabama at Birmingham;;King Abdul Aziz University;Saudi Commissionfor Health
Neurology;ABMS Psychiatry/Neurology;Pouya A. Ameli, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Central Florida;Vanderbilt University Medical Center;Vanderbilt University Medical Center
Nephrology;ABMS Internal Medicine;Pooja D. Amarapurkar, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Jackson Memorial Hospital;Dr. D. Y. Patil Medical College;Saint Vincent Hospital;Jackson Memorial Hospital
Family Medicine;ABMS Family Medicine;Nicole C. Ash-Mapp, MD;Female;;East Point Health Center;Morehouse;(404) 616-1000;;Morehouse School of Medicine;Morehouse School Of Medicine;Morehouse School Of Medicine
Psychiatry;ABMS Psychiatry/Neurology;Peter  Ash, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;University of Pennsylvania School of Medicine;California Pacific Medical Center;University of Michigan Hospital and Health Centers
Infectious Diseases;ABMS Internal Medicine;Wendy S. Armstrong, MD;Female;;Ponce De Leon Center;Emory;(404) 616-1000;University of Michigan School of Medicine;Harvard Medical School;University of Michigan School of Medicine;University of Michigan Health System
Internal Medicine;ABMS Internal Medicine;David W. Anderson, MD;Male;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;S.U.N.Y. Health Science Center @ Syracuse;St. Luke's - Roosevelt Hospital Center;St. Luke's - Roosevelt Hospital Center
Obstetrics/Gynecology;ABMS Obstetrics/Gynecology;Ngozi F. Anachebe, MD;Female;;Grady Memorial Hospital;Morehouse;(404) 616-1000;;Morehouse School of Medicine;Morehouse School Of Medicine;Morehouse School Of Medicine
Surgery;ABMS Surgery;Cletus A. Arciero, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Fox Chase Cancer Center;Uniformed Services University of the Health Sciences;;Walter Reed Army Medical Center
Hematology/Oncology;ABMS Internal Medicine;Martha L. Arellano, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Emory University School of Medicine;;Emory University School of Medicine
Anesthesiology;ABMS Anesthesiology;Sona S. Arora, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;Emory University School of Medicine;Emory University School of Medicine
Nephrology;ABMS Internal Medicine;Ibironke  Apata, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;John Hopkins University School of Medicine;;New York Presbyterian Hospital
Diagnostic Radiology;ABMS Radiology;Krystal L. Archer-Arroyo, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Georgetown University Hospital;Albany Medical College;Albany Medical Center Hospital;University of Massachusetts
Internal Medicine;ABMS Internal Medicine;Lorenzo  Di Francesco, MD, FACP, FHM;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;;Emory University School of Medicine;;Emory University School of Medicine
Neurology;ABMS Psychiatry/Neurology;Monica B. Dhakar, MD, MS;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Yale University School of Medicine;ECFMG-University of Aleppo Faculty of Medicine;Sinai Grace Hospital;Wayne University School of Medicine
Cardiovascular Disease;ABMS Internal Medicine;Chandanreddy M. Devireddy, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Michigan School of Medicine;Duke University Medical Center;Duke University Medical Center
Hospice & Palliative Medicine;ABMS Emergency Medicine;Paul L. DeSandre, DO, FACEP, FAAHPM;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Beth Israel Medical Center;Kansas City University of Medicine & Biosciences;Chicago College of  Osteopathic Medicine;Cook County Office of Risk Management
Surgery;ABMS Surgery;Ann  Defnet, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Loyola University Stritch School of Medicine;;NYU School of Medicine
Radiation Oncology;ABMS Radiology;Natia  Esiashvili, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;;Tbilisi State Medical University;Emory University School of Medicine;Emory University School of Medicine
Clinical Neurophysiology;ABMS Internal Medicine;Charles M. Epstein, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Harvard Medical School;Emory University School of Medicine;Emory University School of Medicine
Vascular & Interventional Radiology;ABMS Radiology;Robert M. Ermentrout, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;Brown Medical School;Saint Vincent Catholic Medical;University of California Irvine School of Medicine
Abdominal Imaging;ABMS Radiology;Amir H. Davarpanahfakhr, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Massachusetts General Hospital;Tehran University of Medical Sciences;Griffin Hospital;Yale New Haven Hospital
Neurology;ABMS Psychiatry/Neurology;Rebecca E. Fasano, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;National Institute of Health;Mount Sinai School of Medicine;Rush University Medical Center;Rush University Medical Center
Pathology;ABMS Pathology;Ross M Fasano, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;Children's National Medical Center/Institute National Institutes of Health;The Ohio State University College of Medicine;;Rush University Medical Center
Critical Care Medicine;ABMS Internal Medicine;Annette M. Esper, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Emory University School of Medicine;University of Texas Medical School @ Houston;;Emory University School of Medicine
Diagnostic Radiology;ABMS Radiology;Melissa  Davis, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;University of North Carolina Hospitals;Medical University of South Carolina;Greenville Hospital System;University of North Carolina Hospitals
Neurology;ABMS Psychiatry/Neurology;Evan R. Gedzelman, MD;Male;;Grady Memorial Hospital;Emory;(404) 616-1000;University of Alabama;University of Miami School of Medicine;UMDNJ;University of Florida - Liability
Vascular & Interventional Radiology;ABMS Radiology;Judy W. Gichoya, MD;Female;;Grady Memorial Hospital;Emory;(404) 616-1000;Oregon Health & Science University;Moi University;Indiana University;Indiana University
