"Name","Specialties","Affiliations","Years In Practice","Provider Gender","Language","Age Groups Seen","Education","Rating"
"Abraham Slaim","Family Medicine","Beaumont Hospital, Taylor","48","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Farmington Hills","4.8 out of 5"
"Amber Marie Gruber","Family Medicine","Beaumont Hospital, Troy","15","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Farmington Hills","4.9 out of 5"
"Christine A Climie","Family Medicine","Beaumont Hospital, Dearborn","","Female","English","Teenagers Adults Geriatrics","St. Joseph Hospital","4.8 out of 5"
"Britani A Marshall","Family Medicine","Beaumont Hospital, Farmington Hills","7","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Genesys Regional Medical Center (Michigan)","4.8 out of 5"
"Sasi B Boppana","Internal Medicine","Beaumont Hospital, Wayne","","Male","English","Adults Geriatrics","Interfaith Medical Center",""
"Mohamed S Elnaggar","Internal Medicine","Beaumont Hospital, Dearborn","36","Male","Arabic English","Adults Geriatrics","Sinai Grace Hospital/WSU",""
"Joyce M Yeghissian","Internal Medicine","Beaumont Hospital, Royal Oak","36","Female","Armenian English","Adults Geriatrics","Henry Ford Hospital",""
"Jerome Sitner","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills",""
"George Grunberger","Internal Medicine","Beaumont Hospital, Royal Oak","44","Male","Czech English","Adults Geriatrics","National Institute of Health Credentialing Services",""
"Michael G Burry","Family Medicine","Beaumont Hospital, Farmington Hills","25","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Garden City Osteopathic Hospital (Michigan)",""
"Rubina Ahmed","Internal Medicine","Beaumont Hospital, Dearborn","32","Female","English Spanish Urdu","Adults Geriatrics","Mount Sinai Medical Center - Cleveland",""
"Habib G Gennaoui","Internal Medicine","Beaumont Hospital, Royal Oak","42","Male","Arabic English French","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Sandra M Sabb","Family Medicine","Beaumont Hospital, Farmington Hills","24","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Providence Hospital and Medical Centers-Southfield (Michigan)",""
"Mark Alrais","Family Medicine","Beaumont Hospital, Grosse Pointe","25","Male","Arabic Chaldean English","Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Grosse Pointe",""
"Michael J Haroutunian","Geriatric Medicine","Beaumont Hospital, Farmington Hills","38","Male","Armenian English","Adults Geriatrics","Beaumont Hospital, Farmington Hills",""
"Racha El-Ladki","Family Medicine","Beaumont Hospital, Wayne","5","Female","Arabic English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Wayne","4.7 out of 5"
"Demetrios N Mermiges","Internal Medicine","Beaumont Hospital, Grosse Pointe","45","Male","English Greek","Adults Geriatrics","Detroit Receiving Hospital","4.7 out of 5"
"Matthew C Zimny","Family Medicine","Beaumont Hospital, Royal Oak","18","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Mount Clemens Regional Medical Center",""
"Kathleen M Rollinger","Family Medicine","Beaumont Hospital, Grosse Pointe","35","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Bon Secours Cottage Hospital","4.5 out of 5"
"Vijaykumar N Patel","Family Medicine","Beaumont Hospital, Wayne","31","Male","English Gujarati Hindi","Newborns Pediatrics Teenagers Adults Geriatrics","Sinai Grace Hospital/WSU",""
"Nicole R Peltz","Pediatrics","Beaumont Hospital, Royal Oak","22","Female","English","Newborns Pediatrics Teenagers","St John Hospital & Medical Center",""
"Steven J Serra","Internal Medicine","Beaumont Hospital, Trenton","33","Male","English","Adults Geriatrics","Riverside Osteopathic Hospital",""
"Frank D. Winters","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English","Adults Geriatrics","Detroit Osteopathic Hospital (Bi-County)",""
"Munzer Samad","Family Medicine","Beaumont Hospital, Royal Oak","36","Male","English","Pediatrics Teenagers Adults Geriatrics","Sinai Hospital of Detroit",""
"Cordell Yoder","Internal Medicine","Beaumont Hospital, Troy","22","Male","English French","Newborns Pediatrics Teenagers Geriatrics","Beaumont Hospital, Royal Oak",""
"Steven Z Antone","Pediatrics","Beaumont Hospital, Troy","20","Male","English Spanish","Pediatrics Teenagers","Columbia University College of Physicians & Surgeons",""
"Antoun Oska","Pediatrics","Beaumont Hospital, Royal Oak","30","Male","English","Newborns Pediatrics Teenagers","Henry Ford Hospital",""
"Amal Khalil","Family Medicine","Beaumont Hospital, Dearborn","9","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Oakwood Hospital Wayne","4.4 out of 5"
"Rana Khoury","Family Medicine","Beaumont Hospital, Dearborn","33","Female","Arabic English French","Newborns Pediatrics Teenagers Adults Geriatrics","North Oakland Medical Center",""
"Ami K Mavani","Pediatrics","Beaumont Hospital, Royal Oak","27","Female","English Gujarati Hindi Marathi","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Bnan A Razoky","Geriatric Medicine","Beaumont Hospital, Royal Oak","34","Female","Arabic Chaldean English","Adults Geriatrics","Detroit Medical Center/Wayne State University",""
"Aaron J Blanzy","Family Medicine","Beaumont Hospital, Trenton","31","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Riverside Osteopathic Hospital","4.8 out of 5"
"Tristan Guevara","Family Medicine","Beaumont Hospital, Grosse Pointe","23","Male","English Spanish","Newborns Pediatrics Teenagers Adults Geriatrics","Ascension Providence Hospital",""
"James A Golden","Internal Medicine","Beaumont Hospital, Royal Oak","37","Male","English","Adults","Henry Ford Hospital",""
"Kevin A Kutskill","Pediatrics","Beaumont Hospital, Grosse Pointe","33","Male","English","Newborns Pediatrics Teenagers","St John Hospital & Medical Center",""
"Magdy G Wanis","Internal Medicine","Beaumont Hospital, Grosse Pointe","31","Male","English","Adults Geriatrics","St John Hospital & Medical Center",""
"Maan Askar","Family Medicine","Beaumont Hospital, Troy","37","Male","Arabic English","Adults Geriatrics","Al-Mustansiriya Medical School - Iraq",""
"Susan A Lagrou","Pediatrics","Beaumont Hospital, Troy","25","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Jaime L Dreyer-Laezza","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Vincent Maribao","Internal Medicine","Beaumont Hospital, Grosse Pointe","27","Male","English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Xiaonan M Guo","Internal Medicine","Beaumont Hospital, Royal Oak","11","Female","Chinese - Mandarin English","Adults Geriatrics","Garden City Osteopathic Hospital",""
"Anthony P Brooks","Family Medicine","Beaumont Hospital, Dearborn","4","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Wayne","4.7 out of 5"
"Raj A Goswami","Addiction Medicine","Beaumont Hospital, Dearborn","21","Male","English Hindi","Adults Geriatrics","Beaumont Hospital, Dearborn",""
"Melissa L Jennings","Family Medicine","Beaumont Hospital, Dearborn","5","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Wayne","4.6 out of 5"
"Douglas R Grucz","Family Medicine","Beaumont Hospital, Wayne","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","American University of the Caribbean","4.7 out of 5"
"Adele P Schweller","Pediatrics","Beaumont Hospital, Wayne","7","Female","English","Newborns Pediatrics Teenagers","Charleston Area Medical Center/West Virginia University","4.7 out of 5"
"Caroline D Zohoury","Family Medicine","Beaumont Hospital, Troy","34","Female","English","Pediatrics Teenagers Adults Geriatrics","St John Macomb-Oakland Hospital, Oakland Center",""
"Jonathan Lovy","Internal Medicine","Beaumont Hospital, Trenton","25","Male","English","Teenagers Adults Geriatrics","Rush-Presbyterian-St. Luke's Medical Center",""
"Jerald A Purifoy","Pediatrics","Beaumont Hospital, Taylor","","Male","English German","Newborns Pediatrics Teenagers","Duke University Medical Center","4.8 out of 5"
"Wafaa S Hanna","Internal Medicine","Beaumont Hospital, Grosse Pointe","35","Female","English","Adults Geriatrics","Bon Secours Hospital","4.7 out of 5"
"Adam S Shammami","Family Medicine","Beaumont Hospital, Grosse Pointe","13","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Ascension Providence Hospital","4.8 out of 5"
"Matthew Hornik","Pediatrics","Beaumont Hospital, Royal Oak","12","Male","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Sumner L Camisa","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English Spanish","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Michael J Raad","Internal Medicine","Beaumont Hospital, Troy","37","Male","English","Adults Geriatrics","Bi-County Community Hospital",""
"Steven M Hudock","Family Medicine","Beaumont Hospital, Troy","39","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Ascension Providence Hospital",""
"Chin S Yi","Family Medicine","Beaumont Hospital, Wayne","","Male","English Korean","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn","4.7 out of 5"
"Scott A Yaekle","Family Medicine","Beaumont Hospital, Dearborn","29","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Dearborn","4.9 out of 5"
"Michael V Kurzawa","Family Medicine","Beaumont Hospital, Grosse Pointe","36","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Bon Secours Cottage Hospital","4.7 out of 5"
"Mark D Hannis","Internal Medicine","Beaumont Hospital, Dearborn","36","Male","English","Geriatrics","University of North Carolina at Chapel Hill","4.7 out of 5"
"Enas F Nakkash","Internal Medicine","Beaumont Hospital, Troy","29","Female","Arabic English","Adults Geriatrics","Hurley Medical Center",""
"Achraf M Slim","Internal Medicine","Beaumont Hospital, Dearborn","11","Male","Arabic English","Teenagers Adults Geriatrics","Wayne State University/Detroit Medical Center",""
"Sumitra N Raam","Internal Medicine","Beaumont Hospital, Royal Oak","27","Female","English Hindi Kannada Tamil","Adults Geriatrics","Beaumont Hospital, Royal Oak","4.7 out of 5"
"Gordhan G Diora","Internal Medicine","Beaumont Hospital, Troy","41","Male","English","Adults Geriatrics","Detroit Medical Center/Wayne State University",""
"Parmod Jindal","Family Medicine","Beaumont Hospital, Dearborn","","Male","English Hindi Punjabi","Newborns Pediatrics Teenagers Adults Geriatrics","American University of the Caribbean",""
"Letacia D Thomas","Family Medicine","Beaumont Hospital, Wayne","","Female","English","Pediatrics Teenagers Adults Geriatrics","Oakwood Hospital - Wayne","4.8 out of 5"
"Najam K Syed","Internal Medicine","Beaumont Hospital, Dearborn","31","Male","English Hindi Kannada Urdu","Adults Geriatrics","Grace Hospital",""
"Kavitha Ponduri","Internal Medicine","Beaumont Hospital, Dearborn","28","Female","English","Adults Geriatrics","Henry Ford Hospital",""
"William P. Penn","Family Medicine","Beaumont Hospital, Farmington Hills","","Male","English French German Italian","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Health - Farmington Hills",""
"John J Habicht","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Genesys Regional Medical Center",""
"Asha H Patel","Internal Medicine","Beaumont Hospital, Royal Oak","41","Female","English Hindi","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Vinod K Mohey","Family Medicine","Beaumont Hospital, Trenton","48","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","University of Louisville School of Medicine",""
"Maan Askar","Family Medicine","Beaumont Hospital, Troy","37","Male","Arabic English","Adults Geriatrics","Al-Mustansiriya Medical School - Iraq",""
"Deepali M Jain","Internal Medicine","Beaumont Hospital, Grosse Pointe","14","Female","English Gujarati Hindi","Adults Geriatrics","Hurley Medical Center","4.6 out of 5"
"Keith B Tom","Family Medicine","Beaumont Hospital, Troy","37","Male","English","Pediatrics Teenagers Adults Geriatrics","Michigan State University Hospitals",""
"Jaime L Dreyer-Laezza","Pediatrics","Beaumont Hospital, Royal Oak","","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Varsha S Revankar","Internal Medicine","Beaumont Hospital, Royal Oak","27","Female","English Hindi Kannada Marathi","Adults","University of Texas Southwestern Medical Center",""
"Colleen M Kennedy","Family Medicine","Beaumont Hospital, Troy","27","Female","English","Newborns Pediatrics Teenagers Adults","Beaumont Hospital, Troy",""
"Mary S Sylwestrzak","Pediatrics","Beaumont Hospital, Royal Oak","33","Female","English Japanese Spanish","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Hany A Eraqi","Family Medicine","Beaumont Hospital, Troy","4","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy",""
"Tania M Sadik","Internal Medicine","Beaumont Hospital, Royal Oak","15","Female","Chaldean English","Adults Geriatrics","Beaumont Hospital, Royal Oak","4.8 out of 5"
"Syed Ghouse Mohiuddin","Pediatrics","Beaumont Hospital, Royal Oak","42","Male","English Urdu","Newborns Pediatrics Teenagers","Pontiac General",""
"Zeena M Al-Rufaie","Pediatrics","Beaumont Hospital, Troy","14","Female","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Sasenarine S Persaud","Family Medicine","Beaumont Hospital, Royal Oak","30","Male","English","Pediatrics Teenagers Adults Geriatrics","Bon Secours Hospital",""
"Kwan Yee","Internal Medicine","Beaumont Hospital, Royal Oak","32","Male","Chinese - Cantonese English","Adults Geriatrics","Beaumont Hospital, Royal Oak",""
"Brian A Vinton","Family Medicine","Beaumont Hospital, Dearborn","","Male","English","Pediatrics Teenagers Adults Geriatrics","Oakwood Hospital - Wayne","4.8 out of 5"
"Erwin Matthew D Patalinghug","Family Medicine","Beaumont Hospital, Grosse Pointe","7","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Troy","4.7 out of 5"
"Ehud H Kapen","Pediatrics","Beaumont Hospital, Royal Oak","26","Male","English","Newborns Pediatrics Teenagers","Children's Hospital of Michigan - DMC",""
"Kevin A Agrest","Family Medicine","Beaumont Hospital, Troy","","Male","English","Newborns Pediatrics Teenagers Adults Geriatrics","Garden City Osteopathic Hospital",""
"Maureen A Kelly","Pediatrics","Beaumont Hospital, Royal Oak","32","Female","English Spanish","Newborns Pediatrics Teenagers","St John Hospital & Medical Center",""
"James B Bragman","Internal Medicine","Beaumont Hospital, Royal Oak","","Male","English Spanish Yiddish","Teenagers Adults Geriatrics","Detroit Medical Center/Wayne State University",""
"Jonathan N Lauter","Pediatrics","Beaumont Hospital, Royal Oak","13","Male","English","Newborns Pediatrics Teenagers","Beaumont Hospital, Royal Oak",""
"Meredith A McLaughlin","Family Medicine","Beaumont Hospital, Dearborn","9","Female","English","Newborns Pediatrics Teenagers Adults Geriatrics","Beaumont Hospital, Wayne","4.9 out of 5"
"Navin Raj","Family Medicine","Beaumont Hospital, Dearborn","","Male","English Hindi Malayalam","Newborns Pediatrics Teenagers Adults Geriatrics","Genesys Regional Medical Center",""
"Shaileshkumar K Desai","Internal Medicine","Beaumont Hospital, Royal Oak","31","Male","English","Adults Geriatrics","Forest Park Hospital",""
"Ghadi G Ghorayeb","Internal Medicine","Beaumont Hospital, Dearborn","","Male","Arabic English French","Adults Geriatrics","Henry Ford Hospital",""
